id,name,address,phone,specialty,doctor_id,is_active
2,Corralon El Vasquito - 9 de Julio -,9 de julio - Mina Clavero,+5493544470679,Construcción y Venta de Materiales,4,true
3,Gina 1,Quesada 4380,,,6,true
1,Datos Consultora,Villa Urquiza,+5493544404054,Tecnología - Automatización - Big Data,2,true
4,GINA 1,QUESADA 4380,+5492344441364,ARQUITECTURA,13,true
5,Palomar,Virasoro 586,+5491160524863,Tecnología,2,true
6,Ocampo - Quilmes -,Ocampo 398 - Quilmes,+5491154571803,"Arquitectura, Tecnología, Desarrollos, Deptos.",6,true
7,Thomas,Alvarez Thomas 1672,+5491154571803,"Arquitectura, Tecnología, Desarrollos, Deptos.",6,true
8,Nono,"Ruta Provincial 15 km 83,5, Córdoba, Argentina",+5493544541118,Sistemas de Seguridad,38,true
9,Ban Zai - Show - MC,"Poeta lugones 1443, Mina Clavero, Córdoba",+5493512026579,Entretenimiento - Música - Dj - Noche - Eventos -,3,true
10,BanZai Show Mina Clavero,"Poeta Lugones 2235, Mina Clavero, Córdoba, Argentina",+5493512026579,Música - Eventos - Fiestas - Entretenimiento,40,true
